reference_id,price,property_type,location,surface_area,rooms,bedrooms,agency_name,agent_name,phone_number,email,coordinates,dpe_rating,source_url,source_domain
18732,264000,appartement,Ref. : 18732,81,4,3,GROUPE BEAUSEJOUR IMMOBILIER ST HERBLAIN BOURG,,0240853232,nantes@beausejour-immobilier.com,,,https://www.beausejour-immobilier.fr/fiches/3-33-30_60457040/appartement-coueron-80-64-m2-terrasse-vue-loire.html,beausejour-immobilier.fr
15321,264000,,Ref. : 15321,107,4,2,GROUPE BEAUSEJOUR IMMOBILIER ST HERBLAIN BOURG,,0240853232,nantes@beausejour-immobilier.com,,,https://www.beausejour-immobilier.fr/fiches/4-40-26_44612638/coueron-bourg.html,beausejour-immobilier.fr
586,197000,,Ref. : 586,64,3,4,GROUPE BEAUSEJOUR IMMOBILIER ST HERBLAIN BOURG,,0240853232,nantes@beausejour-immobilier.com,,,https://www.beausejour-immobilier.fr/fiches/3-33-29_53760586/coueron-la-metairie-type-3-recent.html,beausejour-immobilier.fr
33000,,appartement,Bordeaux,,,,RH Patrimoine,Patrimoine Rh,0664234441,,,,https://www.rhpatrimoine.com/vente/appartement/bordeaux/33000,rhpatrimoine.com
33100,,appartement,Bordeaux,,,,RH Patrimoine,Patrimoine Rh,0664234441,,,,https://www.rhpatrimoine.com/vente/appartement/bordeaux/33100,rhpatrimoine.com
33560,,appartement,Carbon Blanc,,,,RH Patrimoine,Patrimoine Rh,0664234441,,,,https://www.rhpatrimoine.com/vente/appartement/carbon-blanc/33560,rhpatrimoine.com
33700,,appartement,Merignac,,,,RH Patrimoine,Patrimoine Rh,0664234441,,,,https://www.rhpatrimoine.com/vente/appartement/merignac/33700,rhpatrimoine.com
33600,,appartement,Pessac,2,,,RH Patrimoine,Patrimoine Rh,0664234441,,,,https://www.rhpatrimoine.com/vente/appartement/pessac/33600,rhpatrimoine.com
33400,,appartement,Talence,,,,RH Patrimoine,Patrimoine Rh,0664234441,,,,https://www.rhpatrimoine.com/vente/appartement/talence/33400,rhpatrimoine.com
blausasc-06440,990000,,Blausasc 06440,0,,0,NESTENN Nice Port,Nice Port Nestenn,0494121787,serviceclients@nestenn.com,,A,https://nestenn.com/vente/commerce/blausasc-06440,nestenn.com
nice-06000,154255,appartement,Nice 06000,26,1,0,NESTENN Nice Port,Nice Port Nestenn,0494121787,serviceclients@nestenn.com,,A,https://nestenn.com/vente/appartement/nice-06000,nestenn.com
39439274,318000,appartement,Saint-Lys 31470,100,4,3,NESTENN Nice Port,Nice Port Nestenn,0493269095,nice-port@nestenn.com,"43.70632935, 7.283638",D,https://immobilier-nice-port.nestenn.com/tres-bel-appartement-4-pieces-a-vendre-a-nice-secteur-riquier-republique-d-environ-100-m-ref-39439274,nestenn.com
39428157,990000,,Saint-Lys 31470,0,,0,NESTENN Nice Port,Nice Port Nestenn,0493269095,nice-port@nestenn.com,"43.806285858154, 7.368221282959",,https://immobilier-nice-port.nestenn.com/nouveaute-bar-tabac-loto-pmu-cave-a-vins-affaire-de-qualite-coup-de-coeur-ref-39428157,nestenn.com
,06300,,Mettre En,54,3,2,NESTENN Nice Port,,0493269095,serviceclients@nestenn.com,"46.603354, 1.888334",,https://immobilier-nice-port.nestenn.com/mettre-en-location,nestenn.com
carabacel-441093156,,,Saint-Lys 31470,,,,NESTENN Nice Port,Nice Port Nestenn,0493269095,,,,https://immobilier-nice-port.nestenn.com/quartiers-nice-port/carabacel-441093156,nestenn.com
saint-roch-441093262,,,Saint-Lys 31470,,,,NESTENN Nice Port,Nice Port Nestenn,0493269095,,,,https://immobilier-nice-port.nestenn.com/quartiers-nice-port/saint-roch-441093262,nestenn.com
vieux-nice-441093266,,,Saint-Lys 31470,,,,NESTENN Nice Port,Nice Port Nestenn,0493269095,,,,https://immobilier-nice-port.nestenn.com/quartiers-nice-port/vieux-nice-441093266,nestenn.com
2gx,,appartement,Le Havre,,,,ALBERT 1ER IMMOBILIER,,0676214134,,,,https://www.agencealbert1er.fr/location/appartement/le-havre/76600,agencealbert1er.fr
76600,,maison,Le Havre,,,,ALBERT 1ER IMMOBILIER,,0676214134,,,,https://www.agencealbert1er.fr/vente/maison/le-havre/76600,agencealbert1er.fr
76310,,appartement,Sainte Adresse,,,,ALBERT 1ER IMMOBILIER,,0676214134,,,,https://www.agencealbert1er.fr/location/appartement/sainte-adresse/76310,agencealbert1er.fr
76610,,maison,Le Havre,8,,,ALBERT 1ER IMMOBILIER,,0676214134,,,,https://www.agencealbert1er.fr/vente/maison/le-havre/76610,agencealbert1er.fr
76620,,maison,Le Havre,2,,,ALBERT 1ER IMMOBILIER,,0676214134,,,,https://www.agencealbert1er.fr/vente/maison/le-havre/76620,agencealbert1er.fr
4936,141900,maison,Derval 44590,105,5,3,IGOR IMMOBILIER,Igor Immobilier,0240553968,igorimmobilier@orange.fr,"47.666534424, -1.669804454",,https://www.igor-immobilier.com/vente/1-derval/maison/3280-maison-familiale-a-deux-pas-du-centre-de-derval,igor-immobilier.com
5019,354900,maison,Derval 44590,135,6,4,IGOR IMMOBILIER,Igor Immobilier,0240553968,igorimmobilier@orange.fr,"47.666534424, -1.669804454",,https://www.igor-immobilier.com/vente/1-derval/maison/3310-a-vendre-maison-en-pierre-avec-piscine-dependances-et-terrain-constructible-et-divisible-prestige,igor-immobilier.com
4975,201000,maison,Derval 44590,92,4,3,IGOR IMMOBILIER,Igor Immobilier,0240553968,igorimmobilier@orange.fr,"47.666534424, -1.669804454",,https://www.igor-immobilier.com/vente/17-lusanger/maison/3333-maison-de-plain-pied-a-5-minutes-de-derval,igor-immobilier.com
4979,207900,maison,Derval 44590,106,4,3,IGOR IMMOBILIER,Igor Immobilier,0240553968,igorimmobilier@orange.fr,"47.666534424, -1.669804454",,https://www.igor-immobilier.com/vente/1-derval/maison/3338-maison-familiale-a-derval-dans-une-impasse-calme,igor-immobilier.com
4991,168990,maison,Derval 44590,90,5,3,IGOR IMMOBILIER,Igor Immobilier,0240553968,igorimmobilier@orange.fr,"47.666534424, -1.669804454",,https://www.igor-immobilier.com/vente/1-derval/maison/3351-maison-derval-centre,igor-immobilier.com
4990,119000,maison,Derval 44590,80,2,1,IGOR IMMOBILIER,Igor Immobilier,0240553968,igorimmobilier@orange.fr,"47.666534424, -1.669804454",,https://www.igor-immobilier.com/vente/17-lusanger/maison/3350-longere-en-pierre-a-renover-avec-dependances-campagne-proche-de-derval,igor-immobilier.com
4973,168990,maison,Derval 44590,95,4,2,IGOR IMMOBILIER,Igor Immobilier,0240553968,igorimmobilier@orange.fr,"47.666534424, -1.669804454",F,https://www.igor-immobilier.com/vente/23-nozay/maison/3330-nozay-centre-ville,igor-immobilier.com
4887,386400,maison,Derval 44590,320,8,4,IGOR IMMOBILIER,Igor Immobilier,0240553968,igorimmobilier@orange.fr,"47.666534424, -1.669804454",,https://www.igor-immobilier.com/vente/324-villepot/maison/3154-belle-longere-au-charme-rustique,igor-immobilier.com
4953,158500,maison,Derval 44590,97,5,3,IGOR IMMOBILIER,Igor Immobilier,0240553968,igorimmobilier@orange.fr,"47.666534424, -1.669804454",,https://www.igor-immobilier.com/vente/7-guemene-penfao/maison/3305-maison-a-renover-guemene-penfao,igor-immobilier.com
4974,119000,maison,Derval 44590,134,4,2,IGOR IMMOBILIER,Igor Immobilier,0240553968,igorimmobilier@orange.fr,"47.666534424, -1.669804454",,https://www.igor-immobilier.com/vente/81-chateaubriant/maison/3332-maison-ou-gites,igor-immobilier.com
,149000,,Toulouse 31000,,,,ZELIDOM PROMOTEUR,Zelidom Promoteur,0970808585,,,,https://www.zelidom.fr/annonces/haute-garonne,zelidom.fr
,156000,,Toulouse 31000,43,,,ZELIDOM PROMOTEUR,Zelidom Promoteur,0970808585,,"43.6297736, 1.4666163",,https://www.zelidom.fr/annonces/haute-garonne/toulouse/patio-amouroux,zelidom.fr
,156000,appartement,Toulouse 31000,44,,,ZELIDOM PROMOTEUR,Zelidom Promoteur,0970808585,,"43.615828753388, 1.4637672901154",,https://www.zelidom.fr/annonces/haute-garonne/toulouse/my-jolimont,zelidom.fr
nobelia-2,156000,appartement,Toulouse 31000,47,,,ZELIDOM PROMOTEUR,Zelidom Promoteur,0970808585,,"43.637450491253, 1.4302584849885",,https://www.zelidom.fr/annonces/haute-garonne/toulouse/nobelia-2,zelidom.fr
,244000,,Toulouse 31000,,,,ZELIDOM PROMOTEUR,Zelidom Promoteur,0970808585,,,,https://www.zelidom.fr/annonces/herault,zelidom.fr
,200000,,Toulouse 31000,,,,ZELIDOM PROMOTEUR,Zelidom Promoteur,0970808585,,,,https://www.zelidom.fr/la-location-accession,zelidom.fr
1210,89000,appartement,Toulon,27,1,0,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t1-toulon/1034378.html,maxihome.net
1118,99000,appartement,Ollioules,30,2,1,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t2-ollioules/1019412.html,maxihome.net
1220,132000,appartement,Toulon,37,1,1,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t1-toulon/1035098.html,maxihome.net
1157,99000,appartement,Toulon,50,2,1,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t2-toulon/1028757.html,maxihome.net
1221,132000,appartement,Toulon,37,1,1,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t1-toulon/1035112.html,maxihome.net
1161,435000,appartement,La Garenne Colombes,53,2,1,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t2-la_garenne_colombes/1029236.html,maxihome.net
1193,165000,appartement,Toulon Pont Du Las,40,2,1,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t2-toulon_pont_du_las/1033178.html,maxihome.net
1131,173000,appartement,Le Havre,70,3,2,MAXIHOME,,0647117060,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t3-le_havre/1022744.html,maxihome.net
1244,190500,appartement,Perpignan,70,3,2,MAXIHOME,,0617477079,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t3-perpignan/1039284.html,maxihome.net
1224,129000,appartement,Toulon,72,3,2,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t3-toulon/1035204.html,maxihome.net
1255,177000,appartement,Toulon,62,3,2,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t3-toulon/1038174.html,maxihome.net
1189,145000,appartement,Toulon,65,3,2,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t3-toulon/1033353.html,maxihome.net
1280,125000,appartement,Marseille 14eme,84,4,3,MAXIHOME,,0617477079,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t4-marseille_14eme/1039763.html,maxihome.net
1286,329000,appartement,Marseille 4eme,134,5,5,MAXIHOME,,0617477079,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t5-marseille_4eme/1040245.html,maxihome.net
1202,76000,appartement,Saint Etienne,91,5,3,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t5-saint_etienne/1033101.html,maxihome.net
1154,199000,appartement,Avignon,160,8,7,MAXIHOME,,0972290818,,,,https://www.maxihome.net/annonces-vente/ventes-appartements-t8-avignon/1028125.html,maxihome.net
1100,130000,,Divers Canet En Roussillon,80,3,2,MAXIHOME,,0687163930,,,,https://www.maxihome.net/annonces-vente/ventes-divers-t3-canet_en_roussillon/1010982.html,maxihome.net
1159,440000,villa,Divers Hyeres,70,3,2,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-divers-t3-hyeres/1029123.html,maxihome.net
001,280000,immeuble,Lorris,269,6,5,MAXIHOME,,0621137359,,,,https://www.maxihome.net/annonces-vente/ventes-immeubles-t6-lorris/1020682.html,maxihome.net
1249,249000,maison,Avignon,110,3,2,MAXIHOME,,0972290818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t3-avignon/1037739.html,maxihome.net
1295,154000,maison,Le Havre,70,3,2,MAXIHOME,,0634254733,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t3-le_havre/1040906.html,maxihome.net
1290,225000,maison,Marseille 10eme,70,3,2,MAXIHOME,,0617477079,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t3-marseille_10eme/1040662.html,maxihome.net
1173,149900,maison,Abrest,80,4,3,MAXIHOME,,0660981072,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-abrest/1034542.html,maxihome.net
1201,278000,maison,Ales,110,4,3,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-ales/1033029.html,maxihome.net
1278,99900,maison,Arronnes,77,4,2,MAXIHOME,,0660981072,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-arronnes/1035889.html,maxihome.net
1285,480000,maison,Bandol,95,4,3,MAXIHOME,,0617477079,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-bandol/1040241.html,maxihome.net
1196,321000,maison,Cazaux,84,4,3,MAXIHOME,,0612223522,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-cazaux/1033008.html,maxihome.net
1176,199900,maison,Creuzier Le Vieux,87,4,3,MAXIHOME,,0660981072,,,C,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-creuzier_le_vieux/1030986.html,maxihome.net
1234,259000,maison,Fecamp,95,4,3,MAXIHOME,,0646872016,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-fecamp/1036176.html,maxihome.net
1126,305000,maison,Le Havre,137,4,3,MAXIHOME,,0646872016,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-le_havre/1022474.html,maxihome.net
1170,299000,maison,Marseille 14eme,93,4,3,MAXIHOME,,0617477079,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-marseille_14eme/1031493.html,maxihome.net
1117,45000,maison,Retournac,86,4,2,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-retournac/1019468.html,maxihome.net
1243,489000,maison,Rochefort Du Gard,125,4,3,MAXIHOME,,0972290818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-rochefort_du_gard/1036849.html,maxihome.net
1182,419000,maison,Toulon,77,4,3,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t4-toulon/1031948.html,maxihome.net
1191,249000,maison,Ales,163,5,3,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t5-ales/1032751.html,maxihome.net
1177,389000,maison,Fontenay,124,5,3,MAXIHOME,,0646872016,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t5-fontenay/1032401.html,maxihome.net
1240,275000,maison,Laval Pradel,90,5,3,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t5-laval_pradel/1036680.html,maxihome.net
1287,250000,maison,Morcenx,120,5,3,MAXIHOME,,0763638894,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t5-morcenx/1039272.html,maxihome.net
1289,499000,maison,Puilboreau,210,5,3,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t5-puilboreau/1040665.html,maxihome.net
1194,449000,maison,Nimes,258,5,3,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t5-nimes/1033026.html,maxihome.net
1238,699000,maison,Rochefort Du Gard,185,5,4,MAXIHOME,,0972290818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t5-rochefort_du_gard/1036586.html,maxihome.net
1230,239800,maison,Sore,106,5,4,MAXIHOME,,0612223522,,,B,https://www.maxihome.net/annonces-vente/ventes-maisons-t5-sore/1035586.html,maxihome.net
1253,579000,maison,Rochefort Du Gard,185,5,4,MAXIHOME,,0972290818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t5-rochefort_du_gard/1037997.html,maxihome.net
1205,267000,maison,Beaucaire,198,6,5,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-beaucaire/1033166.html,maxihome.net
1281,275000,maison,Beaucaire,166,6,3,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-beaucaire/1039569.html,maxihome.net
1209,450000,maison,Chamborigaud,144,6,4,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-chamborigaud/1033171.html,maxihome.net
1139,83000,maison,Guesnain,90,6,2,MAXIHOME,,0646872016,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-guesnain/1025330.html,maxihome.net
1294,305000,maison,Retournac,186,6,3,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-retournac/1041213.html,maxihome.net
1263,628000,maison,Rochefort Du Gard,185,6,5,MAXIHOME,,0972290818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-rochefort_du_gard/1038535.html,maxihome.net
1284,680000,maison,Saint Cyprien,160,6,3,MAXIHOME,,0651134595,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-saint_cyprien/1040143.html,maxihome.net
1091,680000,maison,Saint Cyprien,200,6,5,MAXIHOME,,0282439948,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-saint_cyprien/1009155.html,maxihome.net
1156,1139000,maison,Toulon,264,6,4,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-toulon/1030462.html,maxihome.net
1239,280000,maison,Saint Jouin Bruneval,120,6,4,MAXIHOME,,0647117060,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-saint_jouin_bruneval/1036635.html,maxihome.net
1266,1100000,maison,Toulon,225,6,4,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-toulon/1039106.html,maxihome.net
1204,367000,maison,Vabres,160,6,4,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-vabres/1033038.html,maxihome.net
1272,555000,maison,Villeneuve Les Avignon,153,6,5,MAXIHOME,,0972290818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t6-villeneuve_les_avignon/1041282.html,maxihome.net
999,55000,maison,Ferrieres Sur Sichon,100,7,4,MAXIHOME,,0660981072,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t7-ferrieres_sur_sichon/973167.html,maxihome.net
1215,427000,maison,Les Angles,160,7,6,MAXIHOME,,0972290818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t7-les_angles/1034447.html,maxihome.net
1192,669000,maison,Saint Christol Les Ales,141,7,4,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t7-saint_christol_les_ales/1032757.html,maxihome.net
1262,699000,maison,Villeneuve Les Avignon,192,7,6,MAXIHOME,,0972290818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t7-villeneuve_les_avignon/1038528.html,maxihome.net
1198,188000,maison,Chaspinhac,133,8,3,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t8-chaspinhac/1033410.html,maxihome.net
1012,79000,maison,Le Breuil,153,8,5,MAXIHOME,,0660981072,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t8-le_breuil/978953.html,maxihome.net
1119,364000,maison,Yssingeaux,262,9,6,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t9-yssingeaux/1019485.html,maxihome.net
1246,306000,maison,Yssingeaux,206,9,3,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t9-yssingeaux/1037263.html,maxihome.net
1158,280000,maison,Avignon,500,10,9,MAXIHOME,,0972290818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t10-avignon/1028756.html,maxihome.net
1008,189000,immeuble,Le Breuil,250,12,11,MAXIHOME,,0660981072,,,,https://www.maxihome.net/annonces-vente/ventes-immeubles-t12-le_breuil/975137.html,maxihome.net
1195,160000,maison,Saint Florent Sur Auzonnet,220,15,7,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t15-saint_florent_sur_auzonnet/1033040.html,maxihome.net
1283,970000,,Saint Florent Sur Auzonnet,380,12,5,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-t12-saint_florent_sur_auzonnet/1038410.html,maxihome.net
1211,599000,maison,Saint Martin De Valgalgues,415,16,8,MAXIHOME,,0629235818,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t16-saint_martin_de_valgalgues/1034361.html,maxihome.net
957,295000,maison,Rosieres,359,11,8,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t11-rosieres/931116.html,maxihome.net
003,48000,terrain,Auxerre,657,,,MAXIHOME,,0621137359,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-auxerre/1021071.html,maxihome.net
1083,124000,terrain,Beuzeville La Grenier,1551,,,MAXIHOME,,0389619993,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-beuzeville_la_grenier/1003947.html,maxihome.net
1002,43000,terrain,Busset,1980,,,MAXIHOME,,0660981072,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-busset/973685.html,maxihome.net
1265,19000,terrain,Ferrieres Sur Sichon,1227,,,MAXIHOME,,0660981072,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-ferrieres_sur_sichon/1038798.html,maxihome.net
1293,19000,terrain,Ferrieres Sur Sichon,1260,,,MAXIHOME,,0660981072,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-ferrieres_sur_sichon/1040840.html,maxihome.net
913,40000,terrain,Le Pertuis,902,,,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-le_pertuis/941174.html,maxihome.net
1179,298000,terrain,Le Teich,1400,,,MAXIHOME,,0612223522,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-le_teich/1031611.html,maxihome.net
1292,255000,terrain,Polignac,5000,,,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-polignac/1040759.html,maxihome.net
1120,90000,terrain,Rosieres,2000,,,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-rosieres/1019776.html,maxihome.net
1254,57000,terrain,Rosieres,1550,,,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-rosieres/1038297.html,maxihome.net
1259,165000,terrain,Rosieres,4500,,,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-rosieres/1038538.html,maxihome.net
876,45000,terrain,Rosieres,2800,,,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-rosieres/932568.html,maxihome.net
1207,52500,terrain,Saint Julien Chapteuil,1030,,,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-saint_julien_chapteuil/1034111.html,maxihome.net
1145,449000,terrain,Sanary Sur Mer,629,,,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-sanary_sur_mer/1025978.html,maxihome.net
1155,349000,terrain,Toulon,653,,,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-toulon/1028820.html,maxihome.net
1162,365000,terrain,Toulon,653,,,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-toulon/1030470.html,maxihome.net
1094,118900,maison,Vorey,220,9,6,MAXIHOME,,0678169102,,,,https://www.maxihome.net/annonces-vente/ventes-maisons-t9-vorey/1009500.html,maxihome.net
1134,110000,terrain,Vidauban,1200,,,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-vidauban/1023703.html,maxihome.net
1135,130000,terrain,Vidauban,1100,,,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-vidauban/1023706.html,maxihome.net
1136,120000,terrain,Vidauban,1302,,,MAXIHOME,,0669525853,,,,https://www.maxihome.net/annonces-vente/ventes-terrains-vidauban/1023709.html,maxihome.net
,3000,appartement,Les dispositifs et aides en neuf à l'achat - CIF,,,,Groupe CIF,Groupe Cif,0240994080,,,,https://www.groupecif.com/acheter-appartement-maison-nantes-loire-atlantique/aides-accession-abordable-nantes-metropole-psla-anru/aides-accession-abordable-nantes-metropole-psla-anru,groupecif.com
RV968/003,198000,appartement,Recherche appartement,68,3,2,Groupe CIF,Groupe Cif,0240994080,,"47.2116847, -1.6481753",,https://www.groupecif.com/appartement/vente-saint-herblain-appartement-t3-groupecif,groupecif.com
RV2100/29,230000,appartement,Recherche appartement,68,3,2,Groupe CIF,Groupe Cif,0240994080,,"47.236652, -1.607473",,https://www.groupecif.com/appartement/vente-nantes-chezine-appartement-t3-groupecif,groupecif.com
